time (h),temperature (°C),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
47.1667,22.92,38.6,0.9900,-1.138,-1.127
47.3333,23.14,37.6,0.9900,-1.136,-1.125
47.5000,22.85,38.0,0.9900,-1.139,-1.128
47.6667,22.68,38.2,0.9900,-1.140,-1.129
47.8333,23.02,36.0,0.9900,-1.135,-1.124
48.0000,22.97,36.8,0.9900,-1.139,-1.128
48.1667,23.39,35.5,0.9900,-1.141,-1.130
48.3333,23.03,37.3,0.9900,-1.137,-1.125
48.5000,23.67,38.4,0.9900,-1.140,-1.129
48.6667,23.02,36.1,0.9900,-1.143,-1.132
48.8333,23.57,33.8,0.9900,-1.140,-1.128
49.0000,23.28,34.7,0.9900,-1.139,-1.127
49.1667,23.22,35.6,0.9900,-1.141,-1.129
49.3333,23.55,34.1,0.9900,-1.137,-1.125
49.5000,23.57,35.1,0.9900,-1.139,-1.127
49.6667,23.59,35.9,0.9900,-1.142,-1.131
49.8333,23.27,34.1,0.9900,-1.143,-1.131
50.0000,23.56,35.6,0.9900,-1.141,-1.130
50.1667,23.23,34.3,0.9900,-1.139,-1.128
50.3333,23.64,34.6,0.9900,-1.140,-1.129
50.5000,23.71,34.4,0.9900,-1.142,-1.130
50.6667,23.52,33.1,0.9900,-1.140,-1.128
50.8333,23.77,32.9,0.9900,-1.139,-1.127
51.0000,24.19,32.3,0.9900,-1.142,-1.131
51.1667,24.15,34.1,0.9900,-1.141,-1.130
51.3333,23.44,33.5,0.9900,-1.141,-1.130
51.5000,23.74,32.9,0.9900,-1.140,-1.128
51.6667,23.79,31.8,0.9900,-1.140,-1.128
51.8333,24.00,33.0,0.9900,-1.140,-1.129
52.0000,23.95,32.9,0.9900,-1.141,-1.129
52.1667,23.48,33.2,0.9900,-1.140,-1.128
52.3333,24.27,32.7,0.9900,-1.138,-1.127
52.5000,23.95,31.6,0.9900,-1.141,-1.130
52.6667,23.90,31.6,0.9900,-1.141,-1.130
52.8333,23.92,31.2,0.9900,-1.141,-1.130
53.0000,23.70,32.6,0.9900,-1.139,-1.127
53.1667,23.77,32.6,0.9900,-1.142,-1.131
53.3333,24.15,33.6,0.9900,-1.137,-1.126
53.5000,24.50,32.2,0.9900,-1.139,-1.128
53.6667,23.86,32.5,0.9900,-1.146,-1.134
53.8333,23.87,33.1,0.9900,-1.139,-1.127
54.0000,23.90,32.2,0.9900,-1.139,-1.127
54.1667,24.00,32.1,0.9900,-1.138,-1.127
54.3333,24.30,32.4,0.9900,-1.141,-1.130
54.5000,23.81,32.0,0.9900,-1.140,-1.129
54.6667,23.97,31.8,0.9900,-1.144,-1.132
54.8333,24.04,31.3,0.9900,-1.140,-1.128
55.0000,24.08,32.5,0.9900,-1.140,-1.129
55.1667,23.80,32.8,0.9900,-1.144,-1.133
55.3333,23.88,32.3,0.9900,-1.142,-1.131
55.5000,23.86,32.6,0.9900,-1.142,-1.130
55.6667,24.19,33.5,0.9900,-1.142,-1.130
55.8333,23.99,32.3,0.9900,-1.140,-1.128
56.0000,23.71,34.7,0.9900,-1.139,-1.127
56.1667,23.81,32.2,0.9900,-1.140,-1.129
56.3333,23.70,32.4,0.9900,-1.140,-1.129
56.5000,23.80,32.6,0.9900,-1.141,-1.130
56.6667,23.64,33.4,0.9900,-1.142,-1.131
56.8333,23.60,32.9,0.9900,-1.140,-1.129
57.0000,23.81,33.3,0.9900,-1.141,-1.129
57.1667,23.61,33.7,0.9900,-1.143,-1.131
57.3333,23.36,35.0,0.9900,-1.137,-1.126
57.5000,23.62,34.3,0.9900,-1.139,-1.127
57.6667,23.34,33.9,0.9900,-1.142,-1.131
57.8333,23.71,35.6,0.9900,-1.134,-1.123
58.0000,23.84,35.6,0.9900,-1.141,-1.130
58.1667,23.42,34.7,0.9900,-1.145,-1.134
58.3333,23.31,35.8,0.9900,-1.140,-1.128
58.5000,23.05,35.1,0.9900,-1.141,-1.130
58.6667,23.44,35.4,0.9900,-1.139,-1.127
58.8333,23.57,37.4,0.9900,-1.139,-1.128
59.0000,23.22,36.1,0.9900,-1.142,-1.130
59.1667,23.25,36.9,0.9900,-1.138,-1.127
59.3333,23.39,36.1,0.9900,-1.143,-1.131
59.5000,22.98,37.7,0.9900,-1.139,-1.127
59.6667,23.10,37.4,0.9900,-1.143,-1.132
59.8333,23.17,37.5,0.9900,-1.141,-1.129
60.0000,23.02,38.5,0.9900,-1.140,-1.129
60.1667,22.84,38.6,0.9900,-1.137,-1.126
60.3333,23.19,38.3,0.9900,-1.139,-1.128
60.5000,22.55,37.8,0.9900,-1.141,-1.130
60.6667,22.76,38.5,0.9900,-1.139,-1.128
60.8333,22.80,39.9,0.9900,-1.141,-1.129
61.0000,22.90,39.5,0.9900,-1.139,-1.127
61.1667,22.68,40.2,0.9900,-1.142,-1.131
61.3333,22.80,40.3,0.9900,-1.140,-1.129
61.5000,22.39,39.6,0.9900,-1.140,-1.129
61.6667,22.46,39.7,0.9900,-1.143,-1.131
61.8333,22.44,40.7,0.9900,-1.140,-1.129
62.0000,22.25,40.7,0.9900,-1.139,-1.127
62.1667,22.33,42.4,0.9900,-1.142,-1.131
62.3333,22.64,41.2,0.9900,-1.140,-1.129
62.5000,22.73,41.3,0.9900,-1.138,-1.127
62.6667,22.32,41.7,0.9900,-1.143,-1.132
62.8333,22.78,40.8,0.9900,-1.138,-1.127
63.0000,22.17,40.6,0.9900,-1.142,-1.130
63.1667,22.22,42.4,0.9900,-1.141,-1.130
63.3333,21.98,41.9,0.9900,-1.143,-1.131
63.5000,21.95,43.1,0.9900,-1.143,-1.132
63.6667,21.85,43.0,0.9900,-1.141,-1.130
63.8333,22.32,42.5,0.9900,-1.139,-1.128
64.0000,22.04,44.0,0.9900,-1.137,-1.126
64.1667,22.62,43.5,0.9900,-1.139,-1.128
64.3333,22.08,44.0,0.9900,-1.138,-1.127
64.5000,22.01,43.4,0.9900,-1.141,-1.129
64.6667,22.04,43.6,0.9900,-1.141,-1.129
64.8333,22.17,43.7,0.9900,-1.142,-1.130
65.0000,22.11,43.2,0.9900,-1.138,-1.127
65.1667,22.10,44.3,0.9900,-1.140,-1.129
65.3333,22.10,44.6,0.9900,-1.139,-1.128
65.5000,21.81,44.9,0.9900,-1.141,-1.130
65.6667,22.25,44.6,0.9900,-1.139,-1.128
65.8333,22.07,44.3,0.9900,-1.144,-1.133
66.0000,22.20,44.7,0.9900,-1.142,-1.131
66.1667,21.87,43.9,0.9900,-1.140,-1.128
66.3333,22.09,43.2,0.9900,-1.139,-1.128
66.5000,22.03,43.6,0.9900,-1.142,-1.130
66.6667,21.82,43.9,0.9900,-1.140,-1.128
66.8333,22.07,44.2,0.9900,-1.141,-1.130
67.0000,22.33,44.8,0.9900,-1.135,-1.123
67.1667,22.35,45.7,0.9900,-1.143,-1.132
67.3333,22.07,43.6,0.9900,-1.143,-1.132
67.5000,21.97,44.8,0.9900,-1.142,-1.130
67.6667,22.26,44.6,0.9900,-1.141,-1.129
67.8333,22.12,45.1,0.9900,-1.144,-1.133
68.0000,22.09,44.1,0.9900,-1.140,-1.128
68.1667,22.21,43.6,0.9900,-1.140,-1.129
68.3333,22.41,44.2,0.9900,-1.140,-1.128
68.5000,21.88,44.3,0.9900,-1.141,-1.129
68.6667,22.03,42.7,0.9900,-1.144,-1.132
68.8333,22.55,43.5,0.9900,-1.139,-1.127
69.0000,22.15,42.8,0.9900,-1.142,-1.131
69.1667,22.39,42.6,0.9900,-1.141,-1.129
69.3333,22.32,42.4,0.9900,-1.137,-1.125
69.5000,22.53,42.7,0.9900,-1.143,-1.132
69.6667,22.05,43.0,0.9900,-1.143,-1.131
69.8333,22.32,42.0,0.9900,-1.140,-1.129
70.0000,22.87,41.4,0.9900,-1.140,-1.128
70.1667,22.40,41.2,0.9900,-1.143,-1.131
70.3333,22.72,41.3,0.9900,-1.144,-1.133
70.5000,22.66,41.9,0.9900,-1.142,-1.131
70.6667,22.88,40.7,0.9900,-1.143,-1.132
70.8333,23.14,41.9,0.9900,-1.144,-1.133
71.0000,22.83,40.1,0.9900,-1.143,-1.132
71.1667,22.70,40.8,0.9900,-1.140,-1.129
71.3333,22.80,41.1,0.9900,-1.142,-1.131
71.5000,22.77,42.0,0.9900,-1.141,-1.130
71.6667,23.25,41.1,0.9900,-1.141,-1.130
71.8333,22.91,39.2,0.9900,-1.138,-1.127
72.0000,23.13,40.1,0.9900,-1.139,-1.128
72.1667,23.20,40.9,0.9900,-1.140,-1.128
72.3333,22.91,39.5,0.9900,-1.138,-1.127
72.5000,22.60,39.5,0.9900,-1.139,-1.127
72.6667,22.88,39.3,0.9900,-1.142,-1.131
72.8333,23.07,39.7,0.9900,-1.140,-1.128
73.0000,23.57,41.0,0.9900,-1.143,-1.131
73.1667,23.20,40.3,0.9900,-1.140,-1.128
73.3333,23.57,38.7,0.9900,-1.142,-1.131
73.5000,23.43,39.5,0.9900,-1.144,-1.132
73.6667,23.59,39.1,0.9900,-1.143,-1.131
73.8333,23.20,38.0,0.9900,-1.139,-1.128
74.0000,23.19,38.7,0.9900,-1.143,-1.131
74.1667,23.71,37.4,0.9900,-1.144,-1.133
74.3333,24.01,39.2,0.9900,-1.139,-1.127
74.5000,23.54,38.5,0.9900,-1.143,-1.131
74.6667,24.04,38.9,0.9900,-1.145,-1.133
74.8333,23.96,37.7,0.9900,-1.140,-1.128
75.0000,23.62,36.4,0.9900,-1.143,-1.132
75.1667,24.15,38.0,0.9900,-1.140,-1.129
75.3333,23.89,37.8,0.9900,-1.143,-1.132
75.5000,23.91,34.9,0.9900,-1.140,-1.128
75.6667,23.75,36.3,0.9900,-1.137,-1.125
75.8333,23.70,36.8,0.9900,-1.141,-1.130
76.0000,23.74,36.0,0.9900,-1.140,-1.128
76.1667,23.82,37.0,0.9900,-1.142,-1.130
76.3333,23.92,37.2,0.9900,-1.140,-1.129
76.5000,24.66,36.9,0.9900,-1.141,-1.130
76.6667,23.88,37.6,0.9900,-1.141,-1.130
76.8333,24.24,37.3,0.9900,-1.143,-1.131
77.0000,23.93,36.8,0.9900,-1.142,-1.131
77.1667,23.65,37.3,0.9900,-1.142,-1.131
77.3333,23.91,36.0,0.9900,-1.138,-1.127
77.5000,24.09,39.2,0.9900,-1.140,-1.129
77.6667,23.89,36.7,0.9900,-1.143,-1.131
77.8333,23.78,37.5,0.9900,-1.141,-1.130
78.0000,24.00,36.7,0.9900,-1.137,-1.126
78.1667,23.73,38.5,0.9900,-1.141,-1.130
78.3333,24.11,37.1,0.9900,-1.143,-1.132
78.5000,24.03,38.5,0.9900,-1.143,-1.132
78.6667,24.04,37.3,0.9900,-1.142,-1.131
78.8333,23.87,37.1,0.9900,-1.142,-1.130
79.0000,24.03,37.2,0.9900,-1.141,-1.130
79.1667,23.97,38.1,0.9900,-1.146,-1.135
79.3333,23.95,37.5,0.9900,-1.138,-1.126
79.5000,24.08,36.5,0.9900,-1.143,-1.132
79.6667,23.86,37.3,0.9900,-1.141,-1.130
79.8333,23.80,38.8,0.9900,-1.145,-1.133
80.0000,24.13,37.6,0.9900,-1.144,-1.132
80.1667,24.10,37.6,0.9900,-1.144,-1.132
80.3333,24.07,40.7,0.9900,-1.141,-1.130
80.5000,23.63,40.3,0.9900,-1.144,-1.132
80.6667,23.48,38.7,0.9900,-1.143,-1.132
80.8333,23.35,38.9,0.9900,-1.142,-1.131
81.0000,24.03,37.5,0.9900,-1.141,-1.129
81.1667,24.09,38.2,0.9900,-1.145,-1.133
81.3333,23.72,39.1,0.9900,-1.142,-1.130
81.5000,23.60,40.0,0.9900,-1.142,-1.130
81.6667,23.51,39.0,0.9900,-1.145,-1.133
81.8333,23.28,39.1,0.9900,-1.144,-1.132
82.0000,23.63,40.0,0.9900,-1.140,-1.129
82.1667,23.48,40.6,0.9900,-1.141,-1.130
82.3333,23.54,40.2,0.9900,-1.141,-1.130
82.5000,23.31,40.5,0.9900,-1.141,-1.130
