time (h),temperature (°C),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
35.0000,65.58,84.7,0.9900,-1.144,-1.133
35.1667,65.18,85.3,0.9900,-1.145,-1.134
35.3333,64.94,85.4,0.9900,-1.144,-1.133
35.5000,65.01,84.2,0.9900,-1.144,-1.133
35.6667,65.15,85.3,0.9900,-1.141,-1.130
35.8333,65.38,84.7,0.9900,-1.148,-1.136
36.0000,65.65,85.2,0.9900,-1.145,-1.134
36.1667,65.35,83.6,0.9900,-1.148,-1.136
36.3333,65.07,85.9,0.9900,-1.144,-1.132
36.5000,64.78,85.3,0.9900,-1.144,-1.133
36.6667,64.86,84.9,0.9900,-1.147,-1.136
36.8333,64.77,84.7,0.9900,-1.144,-1.132
37.0000,64.64,85.2,0.9900,-1.147,-1.135
37.1667,65.24,84.8,0.9900,-1.144,-1.133
37.3333,64.88,85.2,0.9900,-1.148,-1.136
37.5000,64.78,85.9,0.9900,-1.147,-1.136
37.6667,64.76,84.4,0.9900,-1.145,-1.133
37.8333,64.45,84.9,0.9900,-1.143,-1.132
38.0000,64.94,84.8,0.9900,-1.143,-1.132
38.1667,64.60,84.2,0.9900,-1.146,-1.134
38.3333,65.04,84.6,0.9900,-1.145,-1.134
38.5000,64.72,85.0,0.9900,-1.146,-1.134
38.6667,65.11,84.5,0.9900,-1.147,-1.136
38.8333,65.04,84.5,0.9900,-1.145,-1.133
39.0000,64.84,85.1,0.9900,-1.148,-1.136
39.1667,65.04,84.6,0.9900,-1.145,-1.134
39.3333,64.69,86.1,0.9900,-1.146,-1.135
39.5000,65.22,84.5,0.9900,-1.151,-1.139
39.6667,64.66,85.7,0.9900,-1.143,-1.131
39.8333,64.95,85.2,0.9900,-1.143,-1.131
40.0000,64.62,84.7,0.9900,-1.144,-1.133
40.1667,65.02,85.2,0.9900,-1.143,-1.132
40.3333,64.91,85.3,0.9900,-1.146,-1.135
40.5000,65.52,84.8,0.9900,-1.143,-1.132
40.6667,65.31,85.1,0.9900,-1.144,-1.133
40.8333,64.34,85.2,0.9900,-1.142,-1.131
41.0000,64.33,84.7,0.9900,-1.146,-1.135
41.1667,64.81,84.5,0.9900,-1.148,-1.136
41.3333,65.29,83.9,0.9900,-1.145,-1.134
41.5000,64.84,84.9,0.9900,-1.146,-1.135
41.6667,65.15,84.9,0.9900,-1.145,-1.133
41.8333,65.15,85.0,0.9900,-1.147,-1.135
42.0000,65.16,85.9,0.9900,-1.146,-1.134
42.1667,65.63,85.2,0.9900,-1.147,-1.135
42.3333,64.66,84.9,0.9900,-1.147,-1.135
42.5000,64.83,84.2,0.9900,-1.145,-1.133
42.6667,65.22,84.7,0.9900,-1.145,-1.133
42.8333,65.24,84.9,0.9900,-1.146,-1.135
43.0000,65.22,84.6,0.9900,-1.144,-1.133
43.1667,64.80,84.6,0.9900,-1.146,-1.135
43.3333,64.31,85.0,0.9900,-1.143,-1.131
43.5000,64.64,85.1,0.9900,-1.143,-1.131
43.6667,64.79,85.0,0.9900,-1.149,-1.137
43.8333,64.79,85.3,0.9900,-1.147,-1.136
44.0000,64.94,84.9,0.9900,-1.146,-1.134
44.1667,65.52,84.1,0.9900,-1.149,-1.138
44.3333,64.77,85.3,0.9900,-1.142,-1.131
44.5000,64.84,84.7,0.9900,-1.147,-1.135
44.6667,64.81,84.9,0.9900,-1.150,-1.138
44.8333,65.90,86.3,0.9900,-1.148,-1.137
45.0000,65.12,85.1,0.9900,-1.144,-1.133
45.1667,64.93,83.8,0.9900,-1.145,-1.134
45.3333,65.57,84.8,0.9900,-1.150,-1.138
45.5000,64.72,84.9,0.9900,-1.143,-1.132
45.6667,65.01,85.0,0.9900,-1.147,-1.136
45.8333,65.39,84.4,0.9900,-1.146,-1.135
46.0000,64.33,84.4,0.9900,-1.146,-1.134
46.1667,64.71,84.8,0.9900,-1.146,-1.134
46.3333,65.49,85.6,0.9900,-1.150,-1.139
46.5000,64.93,84.4,0.9900,-1.147,-1.135
46.6667,65.22,85.1,0.9900,-1.148,-1.137
46.8333,64.84,84.8,0.9900,-1.145,-1.134
47.0000,65.23,85.6,0.9900,-1.142,-1.130
47.1667,64.94,84.3,0.9900,-1.143,-1.132
47.3333,65.25,85.9,0.9900,-1.149,-1.138
47.5000,64.72,85.4,0.9900,-1.146,-1.134
47.6667,64.74,85.1,0.9900,-1.151,-1.139
47.8333,65.38,84.6,0.9900,-1.145,-1.134
48.0000,65.14,85.0,0.9900,-1.148,-1.136
48.1667,64.86,85.3,0.9900,-1.145,-1.133
48.3333,65.00,85.3,0.9900,-1.147,-1.136
48.5000,65.03,85.0,0.9900,-1.149,-1.138
48.6667,64.95,84.7,0.9900,-1.144,-1.133
48.8333,64.74,84.3,0.9900,-1.144,-1.133
49.0000,64.81,84.8,0.9900,-1.146,-1.135
49.1667,64.56,84.6,0.9900,-1.150,-1.138
49.3333,64.80,85.6,0.9900,-1.145,-1.133
49.5000,65.23,84.6,0.9900,-1.145,-1.133
49.6667,64.84,84.6,0.9900,-1.147,-1.135
49.8333,65.07,85.7,0.9900,-1.145,-1.134
50.0000,64.95,84.8,0.9900,-1.146,-1.135
50.1667,65.02,84.7,0.9900,-1.147,-1.135
50.3333,64.97,86.1,0.9900,-1.144,-1.133
50.5000,64.93,85.4,0.9900,-1.148,-1.137
50.6667,64.79,84.0,0.9900,-1.151,-1.139
50.8333,65.06,84.7,0.9900,-1.149,-1.137
51.0000,65.37,85.2,0.9900,-1.152,-1.141
51.1667,64.91,84.4,0.9900,-1.146,-1.135
51.3333,65.34,84.8,0.9900,-1.152,-1.140
51.5000,65.35,85.6,0.9900,-1.144,-1.133
51.6667,65.11,85.4,0.9900,-1.148,-1.136
51.8333,64.88,84.7,0.9900,-1.147,-1.136
52.0000,65.00,85.0,0.9900,-1.147,-1.136
52.1667,64.86,85.3,0.9900,-1.146,-1.135
52.3333,65.72,84.6,0.9900,-1.148,-1.137
52.5000,65.80,84.5,0.9900,-1.151,-1.139
52.6667,65.04,84.9,0.9900,-1.147,-1.136
52.8333,65.49,85.1,0.9900,-1.147,-1.135
53.0000,64.88,85.0,0.9900,-1.141,-1.130
53.1667,64.66,85.1,0.9900,-1.149,-1.138
53.3333,64.79,85.0,0.9900,-1.146,-1.134
53.5000,65.26,84.2,0.9900,-1.147,-1.135
53.6667,64.78,85.3,0.9900,-1.145,-1.134
53.8333,65.05,85.2,0.9900,-1.149,-1.138
54.0000,65.23,85.2,0.9900,-1.146,-1.134
54.1667,65.32,85.0,0.9900,-1.145,-1.133
54.3333,64.86,85.1,0.9900,-1.144,-1.133
54.5000,64.97,84.5,0.9900,-1.148,-1.136
54.6667,64.95,85.1,0.9900,-1.149,-1.137
54.8333,64.69,84.6,0.9900,-1.150,-1.138
55.0000,64.97,85.9,0.9900,-1.148,-1.136
55.1667,64.33,84.9,0.9900,-1.144,-1.133
55.3333,64.45,84.4,0.9900,-1.145,-1.134
55.5000,65.28,84.9,0.9900,-1.150,-1.139
55.6667,65.02,84.8,0.9900,-1.145,-1.134
55.8333,65.19,83.9,0.9900,-1.150,-1.139
56.0000,65.15,84.2,0.9900,-1.148,-1.136
56.1667,65.13,85.1,0.9900,-1.149,-1.137
56.3333,64.99,84.7,0.9900,-1.145,-1.133
56.5000,64.85,85.0,0.9900,-1.146,-1.135
56.6667,64.96,84.9,0.9900,-1.145,-1.133
56.8333,64.78,84.7,0.9900,-1.146,-1.135
57.0000,65.36,85.3,0.9900,-1.147,-1.135
57.1667,64.96,85.8,0.9900,-1.147,-1.136
57.3333,64.73,85.3,0.9900,-1.148,-1.136
57.5000,65.44,85.0,0.9900,-1.148,-1.137
57.6667,64.80,85.4,0.9900,-1.147,-1.135
57.8333,64.28,84.9,0.9900,-1.151,-1.140
58.0000,65.20,84.1,0.9900,-1.148,-1.136
58.1667,65.34,85.0,0.9900,-1.150,-1.138
58.3333,64.95,84.8,0.9900,-1.145,-1.134
58.5000,65.16,84.7,0.9900,-1.150,-1.139
58.6667,65.21,85.2,0.9900,-1.149,-1.138
58.8333,65.02,85.5,0.9900,-1.147,-1.136
59.0000,65.04,86.8,0.9900,-1.145,-1.134
59.1667,65.43,85.2,0.9900,-1.146,-1.135
59.3333,65.60,85.1,0.9900,-1.145,-1.134
59.5000,65.18,84.8,0.9900,-1.146,-1.135
59.6667,65.06,84.9,0.9900,-1.145,-1.133
59.8333,64.91,84.8,0.9900,-1.149,-1.138
60.0000,65.95,84.7,0.9900,-1.150,-1.138
60.1667,65.21,85.4,0.9900,-1.145,-1.133
60.3333,64.85,84.5,0.9900,-1.149,-1.138
60.5000,64.80,85.1,0.9900,-1.146,-1.134
60.6667,64.98,85.5,0.9900,-1.145,-1.134
60.8333,64.96,85.0,0.9900,-1.147,-1.136
61.0000,65.00,84.6,0.9900,-1.148,-1.137
61.1667,65.22,84.2,0.9900,-1.146,-1.134
61.3333,64.68,84.1,0.9900,-1.146,-1.135
61.5000,64.84,85.3,0.9900,-1.149,-1.138
61.6667,65.84,84.2,0.9900,-1.148,-1.136
61.8333,65.03,84.4,0.9900,-1.149,-1.137
62.0000,64.43,84.5,0.9900,-1.149,-1.138
62.1667,65.25,85.0,0.9900,-1.146,-1.135
62.3333,65.05,85.3,0.9900,-1.147,-1.135
62.5000,64.88,86.1,0.9900,-1.147,-1.136
62.6667,64.70,85.1,0.9900,-1.150,-1.138
62.8333,64.84,85.3,0.9900,-1.150,-1.138
63.0000,64.74,86.0,0.9900,-1.145,-1.133
63.1667,64.57,85.2,0.9900,-1.145,-1.133
63.3333,64.48,84.4,0.9900,-1.148,-1.136
63.5000,65.27,84.8,0.9900,-1.148,-1.137
63.6667,65.12,85.2,0.9900,-1.152,-1.140
63.8333,64.63,85.1,0.9900,-1.146,-1.135
64.0000,65.03,85.6,0.9900,-1.147,-1.136
64.1667,65.47,84.7,0.9900,-1.148,-1.137
64.3333,64.79,86.0,0.9900,-1.151,-1.139
64.5000,64.86,85.9,0.9900,-1.146,-1.134
64.6667,64.57,85.7,0.9900,-1.150,-1.139
64.8333,64.94,84.7,0.9900,-1.145,-1.134
65.0000,64.83,84.2,0.9900,-1.146,-1.135
65.1667,65.42,85.7,0.9900,-1.148,-1.136
65.3333,64.92,84.9,0.9900,-1.151,-1.140
65.5000,65.06,84.7,0.9900,-1.144,-1.133
65.6667,64.99,85.5,0.9900,-1.147,-1.135
65.8333,65.01,85.8,0.9900,-1.148,-1.137
66.0000,64.99,85.9,0.9900,-1.147,-1.135
66.1667,64.75,84.8,0.9900,-1.151,-1.139
66.3333,65.07,85.6,0.9900,-1.148,-1.136
66.5000,65.20,84.5,0.9900,-1.147,-1.136
66.6667,65.42,84.5,0.9900,-1.149,-1.137
66.8333,65.29,85.1,0.9900,-1.150,-1.139
67.0000,65.47,84.6,0.9900,-1.147,-1.135
67.1667,65.39,85.3,0.9900,-1.151,-1.140
67.3333,65.45,84.9,0.9900,-1.144,-1.133
67.5000,65.15,84.9,0.9900,-1.147,-1.136
67.6667,65.17,85.2,0.9900,-1.151,-1.139
67.8333,64.64,85.0,0.9900,-1.147,-1.135
68.0000,64.98,84.8,0.9900,-1.147,-1.135
68.1667,64.62,84.9,0.9900,-1.149,-1.138
68.3333,65.02,85.6,0.9900,-1.152,-1.141
68.5000,65.21,85.7,0.9900,-1.149,-1.138
68.6667,64.71,84.4,0.9900,-1.149,-1.137
68.8333,64.89,85.0,0.9900,-1.147,-1.135
69.0000,65.31,85.5,0.9900,-1.149,-1.138
69.1667,65.24,85.0,0.9900,-1.151,-1.140
69.3333,64.53,84.3,0.9900,-1.153,-1.141
69.5000,64.90,85.3,0.9900,-1.145,-1.133
69.6667,64.78,84.9,0.9900,-1.148,-1.136
69.8333,64.93,84.6,0.9900,-1.147,-1.135
70.0000,65.19,85.3,0.9900,-1.150,-1.139
70.1667,65.23,85.1,0.9900,-1.147,-1.135
70.3333,65.33,84.9,0.9900,-1.149,-1.137
70.5000,64.89,84.6,0.9900,-1.150,-1.139
70.6667,64.52,85.4,0.9900,-1.149,-1.138
70.8333,65.39,84.6,0.9900,-1.146,-1.134
71.0000,64.68,85.0,0.9900,-1.147,-1.136
71.1667,64.89,85.4,0.9900,-1.152,-1.140
71.3333,64.65,85.5,0.9900,-1.150,-1.138
71.5000,64.84,85.8,0.9900,-1.150,-1.139
71.6667,65.04,85.5,0.9900,-1.147,-1.135
71.8333,64.86,84.9,0.9900,-1.149,-1.138
72.0000,64.69,84.7,0.9900,-1.148,-1.136
72.1667,64.70,84.5,0.9900,-1.148,-1.137
72.3333,65.04,85.3,0.9900,-1.148,-1.136
72.5000,65.32,84.8,0.9900,-1.150,-1.138
72.6667,64.67,84.9,0.9900,-1.147,-1.135
72.8333,65.20,84.5,0.9900,-1.147,-1.136
73.0000,64.45,84.6,0.9900,-1.149,-1.137
73.1667,64.86,86.2,0.9900,-1.150,-1.139
73.3333,65.39,84.8,0.9900,-1.148,-1.136
73.5000,64.94,84.7,0.9900,-1.150,-1.138
73.6667,64.77,84.3,0.9900,-1.148,-1.136
73.8333,65.45,86.1,0.9900,-1.149,-1.138
74.0000,64.73,84.2,0.9900,-1.147,-1.136
74.1667,65.35,85.2,0.9900,-1.146,-1.134
74.3333,64.97,84.9,0.9900,-1.148,-1.136
74.5000,64.74,84.5,0.9900,-1.148,-1.137
74.6667,65.00,84.7,0.9900,-1.148,-1.136
74.8333,65.10,85.0,0.9900,-1.149,-1.137
75.0000,65.03,84.6,0.9900,-1.148,-1.137
75.1667,64.95,84.3,0.9900,-1.153,-1.141
75.3333,65.43,83.9,0.9900,-1.151,-1.140
75.5000,64.81,84.8,0.9900,-1.150,-1.139
75.6667,64.94,85.1,0.9900,-1.148,-1.137
75.8333,64.79,85.3,0.9900,-1.149,-1.138
76.0000,64.97,85.3,0.9900,-1.148,-1.137
76.1667,65.07,85.7,0.9900,-1.148,-1.136
76.3333,65.39,83.9,0.9900,-1.150,-1.138
76.5000,65.32,84.3,0.9900,-1.152,-1.141
76.6667,65.09,84.1,0.9900,-1.150,-1.139
76.8333,65.19,85.2,0.9900,-1.153,-1.142
77.0000,65.31,85.4,0.9900,-1.149,-1.138
77.1667,64.71,84.8,0.9900,-1.147,-1.135
77.3333,64.72,85.7,0.9900,-1.151,-1.140
77.5000,65.30,84.4,0.9900,-1.145,-1.134
77.6667,65.58,85.0,0.9900,-1.146,-1.135
77.8333,64.69,84.7,0.9900,-1.150,-1.139
78.0000,65.12,85.3,0.9900,-1.149,-1.138
78.1667,65.16,85.6,0.9900,-1.148,-1.136
78.3333,65.18,86.4,0.9900,-1.149,-1.138
78.5000,65.25,84.2,0.9900,-1.148,-1.136
78.6667,65.07,85.0,0.9900,-1.149,-1.137
78.8333,64.77,84.5,0.9900,-1.149,-1.138
79.0000,64.82,84.5,0.9900,-1.149,-1.138
79.1667,65.30,84.5,0.9900,-1.153,-1.141
79.3333,65.07,85.1,0.9900,-1.150,-1.138
79.5000,65.10,85.3,0.9900,-1.147,-1.136
79.6667,65.62,84.2,0.9900,-1.146,-1.134
79.8333,65.34,85.6,0.9900,-1.148,-1.136
80.0000,64.94,84.4,0.9900,-1.144,-1.133
80.1667,65.41,85.2,0.9900,-1.147,-1.136
80.3333,64.93,85.1,0.9900,-1.150,-1.138
80.5000,65.04,84.8,0.9900,-1.149,-1.137
80.6667,65.14,85.8,0.9900,-1.151,-1.140
80.8333,64.43,84.8,0.9900,-1.151,-1.139
81.0000,65.29,84.8,0.9900,-1.149,-1.138
81.1667,65.48,85.5,0.9900,-1.147,-1.136
81.3333,64.93,85.2,0.9900,-1.148,-1.137
81.5000,65.21,84.2,0.9900,-1.150,-1.139
81.6667,64.96,84.5,0.9900,-1.151,-1.139
81.8333,64.81,84.8,0.9900,-1.150,-1.139
82.0000,64.93,84.8,0.9900,-1.152,-1.140
82.1667,65.14,84.5,0.9900,-1.148,-1.137
82.3333,64.89,85.1,0.9900,-1.148,-1.137
82.5000,65.00,85.3,0.9900,-1.147,-1.136
