time (h),temperature (°C),irradiance (W/m^2),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
45.6667,45.10,0.0,0.0000,0.000,0.000
45.8333,45.28,0.0,0.0000,0.000,0.000
46.0000,45.01,0.0,0.0000,0.000,0.000
46.1667,45.10,0.0,0.0000,0.000,0.000
46.3333,45.17,0.0,0.0000,0.000,0.000
46.5000,44.79,0.0,0.0000,0.000,0.000
46.6667,44.84,0.0,0.0000,0.000,0.000
46.8333,44.98,0.0,0.0000,0.000,0.000
47.0000,45.49,0.0,0.0000,0.000,0.000
47.1667,44.82,0.0,0.0000,0.000,0.000
47.3333,44.79,0.0,0.0000,0.000,0.000
47.5000,45.24,0.0,0.0000,0.000,0.000
47.6667,44.78,0.0,0.0000,0.000,0.000
47.8333,44.98,0.0,0.0000,0.000,0.000
48.0000,45.39,998.2,0.8898,20.067,17.855
48.1667,44.78,997.9,0.8963,20.011,17.936
48.3333,44.95,1000.5,0.8927,20.119,17.960
48.5000,45.07,997.4,0.8955,19.957,17.871
48.6667,45.16,997.8,0.8943,19.849,17.751
48.8333,44.68,999.4,0.8916,20.115,17.934
49.0000,44.76,1001.5,0.8899,20.329,18.092
49.1667,45.31,1002.7,0.8927,20.201,18.033
49.3333,45.02,998.0,0.8939,20.159,18.020
49.5000,45.15,1000.0,0.8947,19.883,17.790
49.6667,44.99,999.2,0.8934,19.947,17.820
49.8333,45.27,998.4,0.8913,20.019,17.842
50.0000,45.11,1001.5,0.8923,20.210,18.034
50.1667,44.72,1000.8,0.8941,20.335,18.181
50.3333,45.42,1003.0,0.8941,20.121,17.990
50.5000,44.81,1002.1,0.8945,20.247,18.111
50.6667,45.22,1001.5,0.8963,20.034,17.956
50.8333,45.33,1001.1,0.8959,19.915,17.841
51.0000,44.93,999.9,0.8934,20.270,18.109
51.1667,45.13,1001.7,0.8900,20.126,17.912
51.3333,45.25,1002.0,0.8909,20.121,17.926
51.5000,44.58,1001.6,0.8941,20.055,17.931
51.6667,45.11,1002.9,0.8942,20.032,17.913
51.8333,44.81,1000.4,0.8931,20.125,17.973
52.0000,44.94,999.0,0.8947,20.083,17.968
52.1667,45.15,1000.4,0.8923,19.952,17.803
52.3333,44.86,1001.7,0.8971,19.904,17.857
52.5000,44.73,999.9,0.8943,20.027,17.909
52.6667,44.69,1000.2,0.8972,19.901,17.856
52.8333,45.32,998.6,0.8920,19.975,17.818
53.0000,45.00,998.0,0.8894,20.184,17.952
53.1667,45.28,996.9,0.8917,20.179,17.992
53.3333,44.75,999.8,0.8952,19.995,17.899
53.5000,45.69,994.4,0.8920,19.696,17.569
53.6667,45.54,998.5,0.8893,20.035,17.818
53.8333,45.08,997.4,0.8910,20.055,17.869
54.0000,44.81,1000.2,0.8929,20.001,17.858
54.1667,44.78,999.4,0.8918,19.986,17.824
54.3333,44.91,1002.4,0.8913,20.003,17.828
54.5000,45.16,999.2,0.8908,20.050,17.859
54.6667,44.88,1001.8,0.8907,20.246,18.034
54.8333,44.80,1000.9,0.8918,19.964,17.804
55.0000,45.00,1000.4,0.8911,20.082,17.895
55.1667,45.40,1002.2,0.8927,20.072,17.918
55.3333,44.90,998.3,0.8890,20.225,17.980
55.5000,45.00,1000.1,0.8940,19.963,17.847
55.6667,45.30,998.6,0.8955,19.837,17.763
55.8333,45.20,999.5,0.8914,20.065,17.887
56.0000,44.85,1001.4,0.8896,20.123,17.901
56.1667,44.96,998.9,0.8928,20.009,17.864
56.3333,45.14,1000.3,0.8954,19.772,17.704
56.5000,44.77,1003.9,0.8935,20.124,17.981
56.6667,45.45,999.1,0.8911,19.903,17.736
56.8333,44.78,1000.0,0.8909,19.791,17.632
57.0000,45.13,998.2,0.8892,19.838,17.640
57.1667,44.80,999.4,0.8928,19.858,17.729
57.3333,45.28,998.9,0.8919,20.176,17.994
57.5000,44.72,997.7,0.8928,19.946,17.808
57.6667,45.55,999.5,0.8919,19.908,17.756
57.8333,44.87,998.7,0.8922,19.881,17.738
58.0000,45.43,997.0,0.8907,19.946,17.766
58.1667,44.59,1000.2,0.8926,20.098,17.940
58.3333,45.11,999.9,0.8907,19.990,17.804
58.5000,45.10,999.5,0.8959,19.904,17.833
58.6667,45.31,997.9,0.8921,19.744,17.613
58.8333,45.01,1002.3,0.8923,20.134,17.965
59.0000,44.65,1000.4,0.8948,19.795,17.712
59.1667,45.12,996.0,0.8930,19.729,17.618
59.3333,45.18,1000.5,0.8920,19.868,17.722
59.5000,45.04,995.9,0.8884,19.849,17.633
59.6667,44.42,1000.2,0.8937,19.872,17.758
59.8333,44.81,1002.0,0.8929,20.079,17.928
60.0000,44.88,0.0,0.0000,0.000,0.000
60.1667,45.06,0.0,0.0000,0.000,0.000
60.3333,44.89,0.0,0.0000,0.000,0.000
60.5000,44.95,0.0,0.0000,0.000,0.000
60.6667,44.92,0.0,0.0000,0.000,0.000
60.8333,45.00,0.0,0.0000,0.000,0.000
61.0000,44.55,0.0,0.0000,0.000,0.000
61.1667,45.40,0.0,0.0000,0.000,0.000
61.3333,45.28,0.0,0.0000,0.000,0.000
61.5000,44.72,0.0,0.0000,0.000,0.000
61.6667,44.67,0.0,0.0000,0.000,0.000
61.8333,45.66,0.0,0.0000,0.000,0.000
62.0000,44.76,0.0,0.0000,0.000,0.000
62.1667,44.81,0.0,0.0000,0.000,0.000
62.3333,45.05,0.0,0.0000,0.000,0.000
62.5000,44.49,0.0,0.0000,0.000,0.000
62.6667,45.09,0.0,0.0000,0.000,0.000
62.8333,44.54,0.0,0.0000,0.000,0.000
63.0000,44.85,0.0,0.0000,0.000,0.000
63.1667,45.03,0.0,0.0000,0.000,0.000
63.3333,45.01,0.0,0.0000,0.000,0.000
63.5000,45.19,0.0,0.0000,0.000,0.000
63.6667,45.05,0.0,0.0000,0.000,0.000
63.8333,44.58,0.0,0.0000,0.000,0.000
64.0000,45.13,0.0,0.0000,0.000,0.000
64.1667,44.90,0.0,0.0000,0.000,0.000
64.3333,44.64,0.0,0.0000,0.000,0.000
64.5000,45.29,0.0,0.0000,0.000,0.000
64.6667,45.51,0.0,0.0000,0.000,0.000
64.8333,44.70,0.0,0.0000,0.000,0.000
65.0000,45.21,0.0,0.0000,0.000,0.000
65.1667,45.26,0.0,0.0000,0.000,0.000
65.3333,45.11,0.0,0.0000,0.000,0.000
65.5000,44.94,0.0,0.0000,0.000,0.000
65.6667,45.22,0.0,0.0000,0.000,0.000
65.8333,45.62,0.0,0.0000,0.000,0.000
66.0000,44.81,0.0,0.0000,0.000,0.000
66.1667,45.26,0.0,0.0000,0.000,0.000
66.3333,44.97,0.0,0.0000,0.000,0.000
66.5000,44.80,0.0,0.0000,0.000,0.000
66.6667,45.15,0.0,0.0000,0.000,0.000
66.8333,45.15,0.0,0.0000,0.000,0.000
67.0000,44.98,0.0,0.0000,0.000,0.000
67.1667,45.30,0.0,0.0000,0.000,0.000
67.3333,44.61,0.0,0.0000,0.000,0.000
67.5000,45.10,0.0,0.0000,0.000,0.000
67.6667,45.07,0.0,0.0000,0.000,0.000
67.8333,45.22,0.0,0.0000,0.000,0.000
68.0000,45.00,0.0,0.0000,0.000,0.000
68.1667,44.79,0.0,0.0000,0.000,0.000
68.3333,44.85,0.0,0.0000,0.000,0.000
68.5000,44.89,0.0,0.0000,0.000,0.000
68.6667,45.24,0.0,0.0000,0.000,0.000
68.8333,45.12,0.0,0.0000,0.000,0.000
69.0000,44.92,0.0,0.0000,0.000,0.000
69.1667,45.20,0.0,0.0000,0.000,0.000
69.3333,45.88,0.0,0.0000,0.000,0.000
69.5000,45.15,0.0,0.0000,0.000,0.000
69.6667,45.17,0.0,0.0000,0.000,0.000
69.8333,44.37,0.0,0.0000,0.000,0.000
70.0000,45.24,0.0,0.0000,0.000,0.000
70.1667,45.39,0.0,0.0000,0.000,0.000
70.3333,45.20,0.0,0.0000,0.000,0.000
70.5000,44.61,0.0,0.0000,0.000,0.000
70.6667,45.30,0.0,0.0000,0.000,0.000
70.8333,44.94,0.0,0.0000,0.000,0.000
71.0000,45.04,0.0,0.0000,0.000,0.000
71.1667,45.53,0.0,0.0000,0.000,0.000
71.3333,45.01,0.0,0.0000,0.000,0.000
71.5000,44.88,0.0,0.0000,0.000,0.000
71.6667,44.47,0.0,0.0000,0.000,0.000
71.8333,45.25,0.0,0.0000,0.000,0.000
72.0000,44.93,998.7,0.8911,19.994,17.816
72.1667,45.28,1002.7,0.8894,20.085,17.863
72.3333,44.82,1002.8,0.8884,20.004,17.771
72.5000,44.79,998.4,0.8920,19.751,17.618
72.6667,44.96,1000.1,0.8894,19.997,17.785
72.8333,44.57,1000.2,0.8904,19.946,17.759
73.0000,45.16,999.0,0.8912,19.955,17.785
73.1667,44.97,998.5,0.8915,19.857,17.702
73.3333,44.59,996.2,0.8924,19.693,17.574
73.5000,45.03,999.1,0.8896,19.853,17.660
73.6667,45.02,1001.6,0.8908,19.968,17.787
73.8333,44.78,1000.3,0.8907,19.825,17.657
74.0000,45.02,1003.3,0.8904,20.085,17.884
74.1667,44.63,999.3,0.8877,19.895,17.661
74.3333,44.27,996.2,0.8900,19.810,17.630
74.5000,44.64,1001.4,0.8935,19.918,17.797
74.6667,45.01,997.4,0.8910,19.881,17.713
74.8333,45.08,1001.3,0.8866,19.899,17.643
75.0000,44.69,998.0,0.8891,19.704,17.518
75.1667,45.10,1000.7,0.8900,19.868,17.682
75.3333,45.38,1003.1,0.8886,19.942,17.720
75.5000,45.33,997.2,0.8875,19.972,17.725
75.6667,44.70,1000.3,0.8892,19.904,17.699
75.8333,45.00,1001.1,0.8871,19.934,17.683
76.0000,45.08,997.6,0.8880,19.720,17.511
76.1667,45.08,1001.0,0.8896,19.840,17.650
76.3333,44.72,998.3,0.8875,19.831,17.600
76.5000,45.00,1001.6,0.8911,19.798,17.642
76.6667,44.56,1001.3,0.8899,19.997,17.795
76.8333,45.08,1000.1,0.8883,19.750,17.544
77.0000,44.92,999.8,0.8879,19.958,17.720
77.1667,44.79,999.4,0.8881,19.875,17.651
77.3333,45.19,997.3,0.8893,19.832,17.636
77.5000,45.21,998.6,0.8892,19.764,17.574
77.6667,44.69,995.1,0.8908,19.758,17.601
77.8333,44.31,998.4,0.8900,19.724,17.554
78.0000,45.54,996.6,0.8863,19.869,17.609
78.1667,44.79,1000.8,0.8837,19.964,17.643
78.3333,45.02,999.6,0.8853,19.946,17.657
78.5000,44.83,1001.2,0.8871,19.708,17.484
78.6667,45.30,998.6,0.8928,19.636,17.531
78.8333,44.71,1002.1,0.8889,19.702,17.514
79.0000,45.51,1003.9,0.8858,19.953,17.674
79.1667,45.00,996.5,0.8860,19.911,17.640
79.3333,45.40,999.2,0.8876,19.640,17.432
79.5000,44.77,1000.1,0.8900,19.751,17.579
79.6667,44.60,1002.0,0.8901,19.928,17.739
79.8333,44.53,1000.8,0.8875,19.796,17.568
80.0000,45.10,998.3,0.8871,19.858,17.617
80.1667,44.84,998.1,0.8900,19.600,17.443
80.3333,44.61,999.2,0.8865,19.984,17.716
80.5000,44.97,1001.2,0.8899,19.748,17.574
80.6667,44.63,1003.9,0.8878,19.779,17.559
80.8333,45.32,996.2,0.8895,19.764,17.579
81.0000,44.91,1003.0,0.8844,19.889,17.590
81.1667,45.35,1000.5,0.8889,19.785,17.586
81.3333,45.42,997.8,0.8886,19.476,17.307
81.5000,45.04,998.9,0.8898,19.573,17.416
81.6667,45.25,999.2,0.8817,19.895,17.542
81.8333,45.50,1000.1,0.8867,19.752,17.515
82.0000,44.81,1001.1,0.8865,19.729,17.491
82.1667,44.76,994.9,0.8901,19.538,17.391
82.3333,44.96,996.2,0.8872,19.885,17.642
82.5000,44.85,1000.4,0.8880,19.687,17.483
82.6667,44.72,999.6,0.8883,19.719,17.517
82.8333,45.02,998.7,0.8863,19.726,17.483
83.0000,45.31,1001.1,0.8903,19.688,17.528
83.1667,45.02,999.6,0.8847,19.761,17.482
83.3333,44.91,1000.0,0.8889,19.588,17.410
83.5000,44.84,1000.7,0.8874,19.774,17.548
83.6667,44.87,1001.5,0.8906,19.764,17.602
83.8333,45.04,1000.4,0.8901,19.488,17.347
84.0000,45.05,0.0,0.0000,0.000,0.000
84.1667,44.62,0.0,0.0000,0.000,0.000
84.3333,44.79,0.0,0.0000,0.000,0.000
84.5000,44.69,0.0,0.0000,0.000,0.000
84.6667,44.85,0.0,0.0000,0.000,0.000
84.8333,44.70,0.0,0.0000,0.000,0.000
85.0000,45.31,0.0,0.0000,0.000,0.000
85.1667,44.66,0.0,0.0000,0.000,0.000
85.3333,44.92,0.0,0.0000,0.000,0.000
85.5000,44.12,0.0,0.0000,0.000,0.000
85.6667,45.28,0.0,0.0000,0.000,0.000
85.8333,44.81,0.0,0.0000,0.000,0.000
86.0000,44.98,0.0,0.0000,0.000,0.000
86.1667,45.35,0.0,0.0000,0.000,0.000
86.3333,45.34,0.0,0.0000,0.000,0.000
86.5000,45.35,0.0,0.0000,0.000,0.000
86.6667,45.45,0.0,0.0000,0.000,0.000
86.8333,44.66,0.0,0.0000,0.000,0.000
87.0000,44.81,0.0,0.0000,0.000,0.000
87.1667,44.94,0.0,0.0000,0.000,0.000
87.3333,45.16,0.0,0.0000,0.000,0.000
87.5000,45.26,0.0,0.0000,0.000,0.000
87.6667,44.87,0.0,0.0000,0.000,0.000
87.8333,45.41,0.0,0.0000,0.000,0.000
